"","occurrence_no","phylum","class","order","family","genus","taxon_environment","environment_basis","motility","motility_basis","life_habit","life_habit_basis","diet","diet_basis","ref_author","ref_pubyr"
"754",20726,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"755",20809,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"756",20810,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Hansen 1978",1978
"757",20903,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"758",21036,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"759",21068,"Mollusca","Gastropoda","Heterostropha","Planorbidae","Planorbis","freshwater","Planorbidae","actively mobile","Gastropoda","epifaunal","Gastropoda","","","Hansen 1978",1978
"760",21070,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"761",21071,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Hansen 1978",1978
"762",21119,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"763",21120,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Hansen 1978",1978
"764",21165,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"765",21166,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Hansen 1978",1978
"766",21251,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"767",21252,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Hansen 1978",1978
"768",21294,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"769",21295,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Hansen 1978",1978
"770",21330,"Mollusca","Scaphopoda","Gadilida","Gadilidae","Cadulus","","","slow-moving","Gadilida","shallow infaunal","Gadilida","deposit feeder","Gadilida","Hansen 1978",1978
"771",21331,"Mollusca","Scaphopoda","Dentaliida","Dentaliidae","Dentalium","","","slow-moving","Dentaliida","semi-infaunal","Dentaliida","deposit feeder","Dentaliida","Hansen 1978",1978
