,occurrence_no,early_interval,late_interval,max_ma,max_ma_error,max_ma_method,min_ma,min_ma_error,min_ma_method,direct_ma_value,direct_ma_error,direct_ma_method,formation,member,spatial_resolution,collection_dates,ref_author,ref_pubyr,Late_Age,Early_Age,min_Ma,max_Ma,Ref
137922,1469362,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Ashiya,,,,Nagao 1928,1928,,,,,
137924,1469365,Paleogene,,66,NA,,23.04,NA,,NA,NA,,Okinishima,,,,Nagao 1928,1928,,,,,
138491,1470093,Bartonian,,41.03,NA,,37.71,NA,,NA,NA,,Sables a Pugilina,,,,Vermeij 2001,2001,,,,,
138492,1470259,Runangan,,36.7,NA,,34.6,NA,,NA,NA,,Oamaru Diatomite,,,,Maxwell 1978,1978,,,,,
138510,1470308,Whaingaroan,,34.6,NA,,27.3,NA,,NA,NA,,McDonald Limestone,,,,Maxwell 1978,1978,,,,,
138511,1470315,Bortonian,,42.6,NA,,39.1,NA,,NA,NA,,Hampden,,,,Maxwell 1978,1978,,,,,
138522,1470406,Early Eocene,,56,NA,,48.07,NA,,NA,NA,,Stettin,,,,Portell and Donovan 2008,2008,,,,,
138584,1470540,Late Valanginian,,137.05,NA,,132.6,NA,,NA,NA,,El Mergueb,,,,Melliti et al. 2019,2019,,,,,
138625,1470775,Thanetian,,59.24,NA,,56,NA,,NA,NA,,Simi,,,,Zinsmeister 1983,1983,,,,,
138682,1470916,Maastrichtian,,72.2,NA,,66,NA,,NA,NA,,Corsicana,,,,Hansen et al. 1993,1993,,,,,
139261,1471882,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Chichasawhay,,,,Mansfield 1940,1940,,,,,
139571,1472796,Chattian,,27.3,NA,,23.04,NA,,NA,NA,,Carmen Silva,,,1895-1897,Olivera et al. 1994,1994,,,,,
140080,1473465,Rupelian,,33.9,NA,,27.3,NA,,NA,NA,,Ototara,,,,Robinson and Lee 2011,2011,,,,,
140100,1473487,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Gaviota,,,,Squires 2018,2018,,,,,
140101,1473488,Priabonian,,37.71,NA,,33.9,NA,,NA,NA,,Wheatland,,,,Squires 2018,2018,,,,,
